No;Name;Chapter;Episode;Year;Note
328;Diamante;0700;0629;2013;
329;Didit;0585;0496;2010;Her name was revealed in Vivre Card.
330;Diesel;0827;0786;2016;His name was revealed by Tony Tony Chopper in Chapter 849.
331;Diez Barrels;0765;0704;2014;
332;Dirt Boss;0326;;2004;Cover story character.
333;Disc J;1040;1079;2022;His name was revealed in SBS Volume 102.
334;Disco;0500;0394;2008;
335;Dive;1024;1080;2021;Her name was revealed in SBS Volume 102.
336;Dobby Ibadonbo;0531;0432;2009;His name was revealed in Vivre Card.
337;Doberman;0420;0302;2006;His name was revealed in the Yellow databook.
338;Dobon;0926;0919;2018;
339;Doc Q;0223;0146;2002;His name was revealed in Chapter 234.
340;Dogra;0582;0493;2010;His name was revealed by Curly Dadan in Chapter 584, he is formally identified in Chapter 587.
341;Dogya;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
342;Doha Ittanka II;0529;0430;2009;His name was revealed in Vivre Card.
343;Doll;1061;1090;2022;
344;Doma;0551;0460;2009;
345;Domino;0526;0422;2009;
346;Domo-kun;0009;;1997;Joke character. He first appeared in God's Gift for the Future. His name was revealed in the Blue databook.
347;Donannoyo;0926;0919;2018;His name was revealed in Vivre Card.
348;Donovan;0318;;2004;
349;Donquino;0966;0959;2020;His name was revealed in SBS Volume 96.
350;Donquixote Doflamingo;0233;0151;2002;
351;Donquixote Homing;0763;0699;2014;
352;Donquixote Mjosgard;0625;0545;2011;His full name was revealed in Chapter 907.
353;Donquixote Rosinante;0761;0686;2014;"He was first mentioned by Trafalgar D. Water Law (as ""Cora-san"") in Chapter 729. His real name was revealed in Chapter 763."
354;Doran;0657;0583;2012;His name was revealed in Chapter 665.
355;Doringo;0000;0000;2009;His name was revealed in SBS Volume 96.
356;Dorry;0116;0071;2000;
357;Dosun;0611;0530;2011;
358;Dotaku;0926;0918;2018;His name was revealed in Vivre Card.
359;Dracule Mihawk;0049;0023;1998;He was first mentioned by Gin in Chapter 48 under his epithet. He was formally introduced in Chapter 50.
360;Dragon Number Thirteen;0655;0579;2012;His name was revealed in Vivre Card.
361;Draw;;;2018;He was first introduced in One Piece novel A Volume 1.
362;Drip;0598;0518;2010;His name was revealed in Chapter 603.
363;Drophy;0160;0103;2000;Her real name was revealed in Vivre Card.
364;Drug Peclo;0860;0828;2017;
365;Ducky Bree;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
366;Duval;0491;0386;2008;His name was revealed in Chapter 492.
367;Eddy;0223;0146;2002;His name was revealed in the Blue databook.
368;Edison;1065;1095;2022;Its name was first seen on a chart in Chapter 1062.
369;Edward Newgate;0234;0151;2002;He was first mentioned by Smoker in Chapter 157. Better known by his epithet Whitebeard.
370;Edward Weevil;0802;0751;2015;He was first mentioned by Brannew in Chapter 700. He appeared as a silhouette in Chapter 801.
371;Eiri;0866;0836;2017;Mentioned only character. He was mentioned by a giant in Chapter 866.
372;Egana;0483;0375;2007;His name was revealed in the Blue Deep databook.
373;Eggplant Soldier;0849;0814;2016;He was only named in the anime.
374;Eikon;0711;0641;2013;Her name was revealed in One Piece Magazine Vol.2.
375;Elizabello II;0704;0632;2013;
376;Elmy;0551;0460;2009;Her name was revealed in the Green databook.
377;Emma;1071;;2023;Her name was revealed in SBS Volume 102.
378;Emporio Ivankov;0537;0438;2009;He was first mentioned by Bentham in Chapter 532.
379;Enel;0254;0167;2002;He was first mentioned by Conis in Chapter 241.
380;Enishida;0517;0411;2008;
381;Epoida;0553;0467;2009;His name was revealed in the Green databook.
382;Époni;0841;0804;2016;
383;Erik;0167;0105;2001;His name was revealed in the Blue databook.
384;Erio;0967;0959;2020;His name was revealed in SBS Volume 96.
385;Esta;0717;0647;2013;
386;Ethanbaron V. Nusjuro;0233;0151;2002;His name was revealed in Chapter 1086.
387;Eustass Kid;0498;0392;2008;
388;Farafra;0167;0105;2001;
389;Farul;0722;0634;2013;
390;Faust;0508;0401;2008;His name was revealed in SBS Volume 86.
391;Fen Bock;0668;0593;2012;
392;Figarland Garling;1086;;2023;
393;Finamore;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
394;Fillonce;0608;0527;2010;Her name was revealed in the Blue Deep databook.
395;Fishbonen;0594;0511;2010;His name was revealed in the Blue Deep databook.
396;Fisher Tiger;0521;0415;2008;
397;Flapper;0711;0641;2013;
398;Flare;;;1994;Appeared in the one-shot Monsters.
399;Forest Boss;0333;;2004;Cover story character.
400;Forliewbs;0566;;2009;His name was revealed in the Green databook.
401;Fossa;0553;0461;2009;His name was revealed in SBS Volume 58.
402;Fourtricks;0994;0982;2020;
403;Foxy;0305;0207;2004;
404;Francois;0537;0438;2009;His name was revealed in Vivre Card.
405;Franky;0329;0233;2004;His name was revealed in Chapter 335. His birth name, Cutty Flam, was revealed in Chapter 346.
406;Fuga;0991;1055;2020;His name was revealed in Chapter 1030.
407;Fugar;1079;;2023;
408;Fugetsu Omusubi;1024;1048;2021;His name was revealed in SBS Volume 101.
409;Fujin;0931;0925;2019;His name was revealed in Chapter 933.
410;Fukaboshi;0609;0528;2011;
411;Fukumi;;;2022;She was first mentioned in SBS Volume 103.
412;Fukurokuju;0931;0925;2019;
413;Fukurou;0375;0264;2005;
414;Fullbody;0043;0020;1998;
415;Funkfreed;0365;0254;2005;
416;Furrari;0906;0884;2018;His name was revealed in Vivre Card.
417;Fuza;0241;0155;2002;Its name was revealed in Chapter 248.
418;Gab;0580;0489;2010;His name was revealed in SBS Volume 101.
419;Gaburu;0702;0921;2013;He was first seen via a photograph.
420;Gaikotsu Yukichi;;;2009;His name was revealed in SBS Volume 53. His face is printed on every 10,000 banknote.
421;Gaimon;0022;0018;1998;
422;Gal;0680;0606;2012;He was named in his anime concept art.
423;Galaxy;0437;;2007;Cover story character. His name was revealed in the Blue Deep databook.
424;Galdino;0117;0070;2000;His real name was revealed by an Impel Down Guards in Chapter 532.
425;Gally;0902;0877;2018;He first appeared in Romance Dawn, Version 1 in 1996.
426;Gama Pyonnosuke;0909;0892;2018;He was named in SBS Volume 95.
427;Gambia;0705;0634;2013;
428;Gambo;0905;0883;2018;His name was revealed in Chapter 1082.
429;Gan Fall;0237;0153;2002;
430;Gancho;0711;0641;2013;
431;Ganryu;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
432;Ganryu;0966;0968;2020;His name was revealed in SBS Volume 96.
433;Gatherine;0379;0266;2005;
434;Gatz;0702;0631;2013;His name was revealed in Chapter 709.
435;Gazelleman;0914;0900;2018;
436;Gecko Moria;0449;0343;2007;
437;Gedatsu;0241;0155;2002;His name was revealed in Chapter 254.
438;Gem;0110;0065;1999;His real name was revealed in Vivre Card.
439;Genbo;0249;0163;2002;His name was revealed by Wyper in Chapter 251.
440;Genrin;0940;0937;2019;His name was revealed in Vivre Card.
441;Genzo;0071;0032;1999;
442;George Black;0536;0436;2009;Mentioned only character. Their name was seen on Impel Down's level 5 prisoner list.
443;George Mach;0313;0217;2004;
444;Gerd;0866;0836;2017;
445;Gerotini;1079;;2023;
446;Giberson;0860;0828;2017;
447;Gig;1024;1067;2021;His name was revealed in SBS Volume 102.
448;Gimlet;0775;0715;2015;
449;Gin;0044;0021;1998;His name was revealed in Chapter 45.
450;Gina;0318;0215;2004;
451;Ginko;0682;0608;2012;She is named in Episode 608 credits.
452;Ginnosuke;0919;0909;2018;His name was revealed in Vivre Card.
453;Ginny;1095;;2023;
454;Ginrummy;0795;0739;2015;
455;Giro Chintaro;0909;0892;2018;His name was revealed in Vivre Card.
456;Giolla;0682;0608;2012;Her name was revealed in Chapter 714.
457;Gion;0907;0887;2018;Better known by her alias Momousagi.
458;Giovanni;0809;0758;2015;His name was revealed in Vivre Card.
459;Gismonda;0705;0635;2013;His name was revealed in SBS Volume 104.
460;Gladius;0682;0608;2012;His name was revealed in Chapter 723.
461;Gloriosa;0514;0408;2008;She was first introduced as Elder Nyon. Her real name was revealed by Boa Hancock in Chapter 517.
462;Glove;0427;0309;2006;
463;Gode;0256;0169;2003;His name was revealed in the Blue Deep databook.
464;Going Merry;0041;0017;1998;
465;Goki;0954;0955;2020;His name was revealed by Scratchmen Apoo in Chapter 991.
466;Gol D. Roger;0001;0001;1997;His real name was revealed by Kureha in Chapter 154.
467;Goldberg;0899;0836;2017;He was mentioned by a giant in Chapter 866.
468;Goldfish Princess;0189;;2001;Cover story character.
469;Gomorrah;0366;0256;2005;
470;Gonbe;0322;0229;2004;
471;Goo;0483;0375;2007;His name was revealed in the Blue Deep databook.
472;Gorilla;0596;0514;2010;
473;Gorishiro;0978;0982;2020;His name was revealed in Chapter 997.
474;Goro;0316;Stampede;2004;Cover story character.
475;Gorobe;0924;0916;2018;
476;Gotti;0825;0783;2016;
477;Grabar;0717;0647;2013;Her name was revealed in SBS Volume 73.
478;Gram;0391;0275;2005;Her name revealed in Color Walk 4.
479;Great Michael;0563;;2009;His name was revealed in the Green databook.
480;Guernica;0705;0635;2013;His name was revealed in Chapter 1053, although his identity was not clear until SBS Volume 104.
481;Guillotine;1078;;2023;His name was revealed in Chapter 1108.
482;Gyaro;0197;0386;2001;His name was revealed in the Blue databook. He is formally introduced in Chapter 492.
483;Gyogyo;0498;0392;2008;His name was revealed in Chapter 1097.
484;Gyoro;0449;0343;2007;
485;Gyoru;0001;0045;1997;His name was revealed in the Blue databook.
486;Gyro;0611;0530;2011;His name was revealed in Chapter 611.
487;Hack;0706;0633;2013;
488;Hack;0391;0275;2005;His name revealed in Color Walk 4.
489;Hajrudin;0706;0639;2013;He was first mentioned by Maynard in Chapter 705.
490;Hakowan;0245;0778;2002;His name was revealed in the Blue Deep databook.
491;Hakugan;0810;0757;2015;His name was revealed by Trafalgar D. Water Law in Chapter 1064.
492;Ham Burger;0823;0777;2016;His name was revealed in Chapter 905.
493;Hamburg;0305;0207;2004;
494;Hamlet;0994;0982;2020;
495;Hammond;0607;0526;2010;
496;Han;0940;0937;2019;
497;Hana;0971;0973;2020;
498;Hangan;0556;0465;2009;His name was revealed in the Green databook.
499;Hanger;0097;0048;1999;His name was revealed in the Blue databook.
500;Hanji;0929;0922;2019;His name was revealed in Vivre Card.
501;Hanji;0949;0947;2019;His name was revealed in the captions of Episode 947.
502;Hannyabal;0525;0422;2008;
503;Hanzo;0931;0925;2019;His name was revealed by Shinobu in Chapter 933.
504;Happa Yamao;0341;0241;2004;His name was revealed in SBS Volume 76.
505;Happygun;0578;;2010;His name was revealed in the Green databook.
506;Hara;0919;0909;2018;His name was revealed in Vivre Card.
507;Haredas;0523;0418;2008;His name was revealed in Episode 418 credits. He is formally introduced in the manga in Chapter 592.
508;Harisenbon;0617;0555;2011;
509;Haritsu Kendiyo;0594;0511;2010;His name was revealed in the Blue Deep databook.
510;Haruta;0553;0461;2009;His name was revealed in SBS Volume 58.
511;Hasami;0176;0110;2001;His name was revealed by Nami in Chapter 180.
512;Hatcha;0981;0987;2020;He first appeared as a silhouette in Chapter 980.
513;Hatchan;0069;0031;1999;"Also known by his nickname ""Hachi""."
514;Hattori;0323;0230;2004;
515;Heat;0500;0394;2008;His name was revealed in the Blue Deep databook
516;Helmeppo;0003;0002;1997;
517;Heppoko;0002;0001;1997;His name was revealed in the Blue databook.
518;Hera;0703;0633;2013;His name was written on his back along with his participant number.
519;Hera;1011;1028;2021;
520;Heracles;0524;0420;2008;
521;Herb;0287;0187;2003;Her name was revealed in the Blue Deep databook.
522;Hewitt;0223;0146;2002;His name was revealed in the Blue databook.
523;Hibari;1061;1090;2022;
524;Hidayu;0926;0918;2018;His name was revealed in Vivre Card.
525;Higuma;0001;0004;1997;
526;Hihimaru;0910;0892;2018;Its name was revealed/given in Chapter 911.
527;Hikoichi;0180;0111;2001;His name was revealed in the Blue databook.
528;Hildon;0444;0339;2007;
529;Hina;0171;0127;2001;
530;Hinokizu;1056;1083;2022;Mentioned only character. He was first mentioned by Eustass Kid in Chapter 1056.
531;Hip;1038;1065;2022;Her name was revealed in SBS Volume 102.
532;Hippo Gentleman;0451;0345;2007;His name was revealed by Perona in Chapter 466.
533;Hiramera;0608;0527;2010;Her name was revealed in SBS Volume 65.
534;Hiriluk;0140;0085;2000;
535;Hiroshi;0915;0901;2018;His name was revealed in Vivre Card.
536;Hitsugisukan;0963;0968;2019;His name and full appearance were revealed in Chapter 967.
537;Ho;0213;0128;2002;His name was revealed in the Blue databook.
538;Hocha;0391;0275;2005;His name was revealed in Color Walk 4.
539;Hocker;0012;0006;1997;Name was revealed in the Blue databook.
540;Hody Jones;0608;0527;2010;He was officially introduced in Chapter 611.
541;Hoe;0611;0530;2011;
542;Hogback;0446;0340;2007;He was first mentioned by Hildon in Chapter 444.
543;Hoichael;0371;0313;2005;
544;Holed'em;0915;0901;2018;He was first mentioned by Gazelleman in Chapter 914.
545;Holy;0241;0155;2002;His name was revealed by Ohm in Chapter 251.
546;Home;0921;0912;2018;Its name was revealed in Vivre Card.
547;Hongo;0001;0489;1997;His name was revealed in SBS Volume 101.
548;Honner;0287;0187;2003;His name was revealed in Vivre Card.
549;Hop;1040;;2022;Her name was revealed in SBS Volume 102.
550;Hotei;0951;0951;2019;His name was revealed in Chapter 986.
551;Hotori;0261;0171;2003;
552;Hototogisu;0766;0705;2014;Her name was revealed in SBS Volume 108.
553;Hound;1078;;2023;His name was revealed in Chapter 1108.
554;House;1038;1067;2022;Her name was revealed in SBS Volume 102.
555;Hublot;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
556;Humphrey;0598;0517;2008;His name was revealed in the Blue Deep databook.
557;Hustle;0060;;1998;His name was revealed in the Blue databook.
558;Hyogoro;0926;0919;2018;His full name was revealed in Chapter 934.
559;Hyota;0196;0120;2001;His name was revealed in the Blue databook.
560;Hyoutauros;0658;0582;2012;His name is mentioned by Luffy in Episode 582.
561;Hyouzou;0607;0527;2010;His name was revealed in Chapter 610.
562;Ibiributsu;0926;0919;2018;His name was revealed in Vivre Card.
563;Ibusu;0738;0671;2014;
564;Iceburg;0323;0230;2004;
565;Ichika;0608;0527;2010;
566;Ideaman;0055;0025;1998;His name was revealed in the Blue databook.
567;Ideo;0706;0633;2013;
568;Igaram;0106;0064;1999;His real name was revealed introduced by Nefertari Vivi in Chapter 110.
569;Ikaros Much;0611;0530;2011;
570;Ikkaku;0810;0757;2016;Her name was revealed in SBS Volume 83.
571;Ikkaku;0915;0902;2018;His name was revealed in Vivre Card.
572;Imu;0906;0885;2018;Their name was revealed in Chapter 908.
573;Inazuma;0536;0438;2009;He reveals his name in Chapter 537.
574;Inbi;0954;0955;2019;His name was revealed in Chapter 1030.
575;Indigo;0000;0429;2009;
576;Inhel;0718;0648;2013;His name was revealed in SBS Volume 73.
577;Inoichibannosuke;0917;0904;2018;His name was revealed in Vivre Card.
578;Inuarashi;0808;0756;2015;He first appeared shadowed in Wanda's flashback in Chapter 806.
579;Inukai;0932;0926;2019;His name was revealed in Vivre Card.
580;Inuppe;0451;0345;2007;His name was revealed in the One Piece Manga Volume 48.
581;Ipponmatsu;0097;0049;1998;
582;Ipponume;0097;0049;1998;Her name was revealed in Vivre Card.
583;Isa;0256;0168;2003;Her name was revealed in the Blue Deep databook.
584;Ishigo Shitemanna;0325;0231;2004;His name was revealed in the Blue Deep databook.
585;Ishilly;0608;0527;2010;Her name was called out by another mermaid in Chapter 612.
586;Island Eater;0129;0077;2000;His name was revealed in Vivre Card.
587;Islewan;0553;0462;2009;His name was revealed in the Green databook.
588;Issho;0701;0630;2013;His alias was revealed by Sakazuki in Chapter 700. His real name was revealed in Chapter 705.
589;Isuka;;;2018;She was first introduced in One Piece novel A Volume 1.
590;Itomimizu;0306;0209;2004;
591;Ivan X;0180;0111;2001;His name was revealed in the Blue databook.
592;Izou;0553;0461;2009;His name was revealed in SBS Volume 58.
593;Iwatobi;0823;0777;2016;His name was revealed in Vivre Card.
594;Iyan'eno Chinode;1074;;2023;Her name was revealed in SBS Volume 107.
595;Jabra;0375;0264;2005;
596;Jack;0801;0746;2015;He was first mentioned by one of his subordinates in Chapter 692.
597;Jack-in-the-Box;0448;0342;2007;
598;Jacksonbanner;0967;0968;2020;His name was revealed in SBS Volume 96.
599;Jaguar;1039;1067;2022;His name was revealed in SBS Volume 102.
600;Jaguar D. Saul;0392;0275;2005;
601;Jaki;0954;0955;2019;His name was revealed in Chapter 989.
602;Jalmack;0588;0502;2010;
603;Jango;0025;0009;1998;
604;Jarul;0866;0836;2017;
605;Jaygarcia Saturn;0233;0151;2002;His name was revealed in Chapter 1073.
606;Jean Ango;0706;0639;2013;
607;Jean Bart;0497;0391;2008;His name was revealed by Trafalgar D. Water Law in Chapter 505.
608;Jean Goen;0526;0423;2008;His name was revealed in Vivre Card.
609;Jeep;0906;0884;2018;Her name was revealed in the captions of Episode 889.
610;Jeet;0706;0632;2013;
611;Jerry;0362;0253;2005;
612;Jero;0680;0606;2012;He was named in his anime concept art.
613;Jesus Burgess;0222;0146;2002;His name was revealed in Chapter 234.
614;Jew Wall;0222;0145;2002;Mentioned only character. Their name was first mentioned in Chapter 222.
615;Jewelry Bonney;0498;0392;2008;
616;Jibuemon;0920;0911;2018;
617;Jigoku Benten;0931;0925;2019;Her name was revealed in the credits of Episode 925.
618;Jigoro;0452;0346;2007;
619;Jigra;0860;0830;2017;
620;Jinbe;0528;0416;2009;He was first mentioned by Yosaku in Chapter 69.
621;Jiron;1082;;2023;
622;Jizo;0951;0951;2019;His name was revealed in the credits of Episode 995.
623;Jo;0948;0947;2019;His name was revealed in the captions of Episode 947.
624;Jobo;0232;0150;2002;His name was revealed in the Blue Deep databook.
625;John;0450;0344;2007;He was first mentioned by Buggy in Chapter 233.
626;John Giant;0096;0045;1999;His name was revealed in the Blue databook.
627;Johnny;0042;0019;1998;
628;Jorge;0353;0248;2005;His name was revealed in the Blue Deep databook.
629;Joseph;0705;0635;2013;His name was revealed in SBS Volume 104.
630;Joshu;1065;1095;2022;Its name was revealed in SBS Volume 106.
631;Jorul;0866;0836;2017;
632;Joy Boy;0628;0548;2011;His name was read on a Poneglyph by Nico Robin in Chapter 628.
633;Jozu;0234;0151;2002;
634;Judy;0499;0393;2008;His name was revealed in the Blue Deep databook.
635;Jujiro;0926;0918;2018;His name was revealed in Vivre Card.
636;Juki;0977;0982;2020;His name was mentioned by X Drake in Chapter 990.
637;Julius;0578;0489;2010;His name was revealed in the Green databook.
638;Junan;0611;0530;2011;His name was revealed in the Blue Deep databook.
639;Kabu;0710;0640;2013;Real appearance revealed in Chapter 711.
640;Kadar;0622;0541;2011;
641;Kagero;0920;0909;2018;His name was revealed in Vivre Card.
642;Kagikko;0064;;1998;His name was revealed in the Blue databook.
643;Kaidou;0795;0739;2015;He was first mentioned by Gecko Moria in Chapter 456. Part of his face was seen in Chapter 693 color spread.
644;Kairen;0608;0527;2010;Her name was revealed in SBS Volume 65.
645;Kairiken;0498;0392;2008;His name was revealed in the Blue Deep databook.
646;Kairo Kureyo;0535;0437;2009;His name was revealed in Vivre Card.
647;Kaku;0323;0230;2004;
648;Kaku;0927;0919;2018;
649;Kakukaku;0334;0237;2004;His name was revealed in SBS Volume 43.
650;Kakunoshin;0926;0918;2018;His name was revealed in Vivre Card.
651;Kalgara;0286;0187;2006;He was first mentioned by Braham in Chapter 249.
652;Kalifa;0323;0230;2004;
653;Kamakiri;0249;0163;2002;
654;Kamekichi;0926;0918;2018;His name was revealed in Vivre Card.
655;Kamijiro;0914;0901;2018;His name was revealed by Holed'em in Chapter 917.
656;Kaneshiro;0072;0032;1999;His name was revealed in the Blue databook.
657;Kanezenny;0398;0278;2006;Her name was revealed in the Blue Deep databook.
658;Kappa;0167;0105;2001;
659;Karasu;0593;0510;2010;His name and full appearance were revealed in Chapter 904.
660;Karma;0553;0467;2009;His name was revealed in the Green databook.
661;Karoo;0109;0065;1999;
662;Kasa;0594;0511;2010;Her name was revealed in the Blue Deep databook.
663;Kasagoba;0607;0527;2010;His name was revealed in the Blue Deep databook.
664;Kashii;0377;0265;2005;
665;Kashigami;0287;0187;2003;
666;Katsuzo;0960;0960;2019;
667;Kawamatsu;0920;0910;2018;He was first mentioned by Kin'emon in Chapter 921.
668;Kaya;0023;0009;1998;Her name was revealed in Chapter 24.
669;Kazekage;0931;0925;2019;His name and its spelling were revealed in SBS Volume 97.
670;Kazenbo;1030;1055;2021;
671;Kebi;0164;0100;2001;His name was revealed in the Blue databook.
672;Kechatch;0553;;2009;His name was revealed in the Green databook.
673;Keith;0809;0759;2015;His name was revealed in Vivre Card.
674;Kentauros;0180;0111;2001;His name was revealed in the Blue databook.
675;Kelly Funk;0704;0633;2013;
676;Kerville;0379;0267;2005;His name was revealed in Chapter 399.
677;Kibagaeru;0306;0208;2004;His name was revealed in the Blue Deep databook.
678;Kibin;0594;0475;2010;His name was revealed in Episode 475 credits.
679;Kiev;0325;0231;2004;His name was revealed in the Yellow databook.
680;Kikipatsu;0925;0917;2018;His name was revealed in Vivre Card.
681;Kiku;0515;0409;2008;Mentioned only character. Her name was seen on an arena battle board on Amazon Lily.
682;Kikunojo;0913;0899;2018;
683;Kikyo;0514;0408;2008;
684;Killer;0498;0392;2008;
685;Kimel;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
686;Kin'emon;0656;0580;2012;His name was revealed in Chapter 664.
687;Kinbo;0917;0904;2018;His name was revealed in Vivre Card.
688;Kinderella;0261;0778;2003;Her real name was revealed in Chapter 906.
689;King;0925;0918;2018;He first appeared as a silhouette in Chapter 920.
690;Kingbaum;0836;0797;2016;
691;Kinga;0570;0484;2010;His name was revealed in the Green databook.
692;Kingdew;0562;0461;2009;His name was revealed in SBS Volume 58.
693;Kinoko;0536;0437;2009;His name was revealed in Vivre Card.
694;Kirinkodanuki;0022;0018;1998;It was named in its anime concept art.
695;Kirintauros;0658;0582;2012;His name is listed in the credits for Episode 582.
696;Kisegawa;0929;0922;2019;
